YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
1992,NZ,248,6,10,AUS,WON,AUCKLAND,PAKISTAN
,NZ,210,4,9,SL,WON,HAMILTON,
,NZ,191,3,7,SA,WON,AUCKLAND,
,NZ,162,3,7,ZIM,WON,NAPIER,
,NZ,206,5,7,WI,WON,AUCKLAND,
,NZ,231,6,6,IND,WON,DUNEDIN,
,NZ,201,3,8,ENG,WON,WELLINGTON,
,NZ,166,10,3,PAK,LOST,CHRISTCHURCH,
,NZ,262,7,6,PAK,LOST,AUCKLAND,
,,,,,,,,
,AUS,211,10,6,NZ,LOST,AUCKLAND,
,AUS,170,9,1,SA,LOST,SYDNEY,
,AUS,237,9,10,IND,WON,BRISBANE,
,AUS,171,10,2,ENG,LOST,SYDNEY,
,AUS,190,3,9,SL,WON,ADELAIDE,
,AUS,172,10,9,PAK,LOST,PERTH,
,AUS,265,6,10,ZIM,WON,HOBART,
,AUS,216,6,10,WI,WON,MELBOURNE,
,,,,,,,,
,ENG,236,9,10,IND,WON,PERTH,
,ENG,160,4,10,WI,WON,MELBOURNE,
,ENG,NR,NR,NR,PAK,NR,ADELAIDE,
,ENG,173,2,10,AUS,WON,SYDNEY,
,ENG,280,6,10,SL,WON,BALLARAT,
,ENG,226,7,4,SA,WON,MELBOURNE,
,ENG,200,8,3,NZ,LOST,WELLINGTON,
,ENG,125,10,10,ZIM,LOST,ALBURY,
,ENG,252,6,6,SA,WON,SYDNEY,
,ENG,227,10,6,PAK,LOST,MELBOURNE,
,,,,,,,,
,IND,227,10,9,ENG,LOST,PERTH,
,IND,NR,NR,NR,SL,NR,MACKAY,
,IND,234,10,9,AUS,LOST,BRISBANE,
,IND,216,7,10,PAK,WON,SYDNEY,
,IND,203,7,1,ZIM,WON,HAMILTON,
,IND,197,10,5,WI,LOST,WELLINGTON,
,IND,230,6,6,NZ,LOST,DUNEDIN,
,IND,180,6,4,SA,LOST,ADELAIDE,
,,,,,,,,
,SL,313,7,4,ZIM,WON,NEW PLYMOUTH,
,SL,206,9,4,NZ,LOST,HAMILTON,
,SL,NR,NR,NR,IND,NR,MACKAY,
,SL,198,7,10,SA,WON,WELLINGTON,
,SL,189,9,3,AUS,LOST,ADELAIDE,
,SL,174,10,6,ENG,LOST,BALLARAT,
,SL,177,9,8,WI,LOST,BERRI,
,SL,212,6,6,PAK,LOST,PERTH,
,,,,,,,,
,ZIM,312,4,7,SL,LOST,NEW PLYMOUTH,
,ZIM,201,7,4,PAK,LOST,HAMILTON,
,ZIM,189,7,8,WI,LOST,BRISBANE,
,ZIM,105,7,3,NZ,LOST,NAPIER,
,ZIM,104,1,7,IND,LOST,HAMILTON,
,ZIM,163,10,3,SA,LOST,CANBERRA,
,ZIM,137,10,6,AUS,LOST,HOBART,
,ZIM,134,10,10,ENG,WON,ALBURY,
,,,,,,,,
,PAK,220,2,0,WI,LOST,MELBOURNE,
,PAK,254,4,7,ZIM,WON,HOBART,
,PAK,NR,NR,NR,ENG,NR,ADELAIDE,
,PAK,173,10,7,IND,LOST,SYDNEY,
,PAK,173,8,7,SA,LOST,BRISBANE,
,PAK,220,9,10,AUS,WON,PERTH,
,PAK,216,6,6,SL,WON,PERTH,
,PAK,167,3,10,NZ,WON,CHRISTCHURCH,
,PAK,264,6,7,NZ,WON,AUCKLAND,
,PAK,249,6,10,ENG,WON,MELBOURNE,
,,,,,,,,
,WI,221,0,2,PAK,WON,MELBOURNE,
,WI,157,10,4,ENG,LOST,MELBOURNE,
,WI,264,8,7,ZIM,WON,BRISBANE,
,WI,136,10,8,SA,LOST,CHRISTCHURCH,
,WI,203,7,5,NZ,LOST,AUCKLAND,
,WI,195,5,10,IND,WON,WELLINGTON,
,WI,268,8,9,SL,WON,BERRI,
,WI,159,10,6,AUS,LOST,MELBOURNE,
,,,,,,,,
,SA,171,1,9,AUS,WON,SYDNEY,
,SA,190,7,3,NZ,LOST,AUCKLAND,
,SA,195,10,7,SL,LOST,WELLINGTON,
,SA,200,8,10,WI,WON,CHRISTCHURCH,
,SA,211,7,8,PAK,WON,BRISBANE,
,SA,164,3,10,ZIM,WON,CANBERRA,
,SA,236,4,7,ENG,LOST,MELBOURNE,
,SA,181,4,6,IND,WON,ADELAIDE,
,SA,232,6,6,ENG,LOST,SYDNEY,
