YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER 
,,,,,,,,
1996,ENG,228,9,6,NZ,LOST,AHMEDABAD,SRI LANKA
,ENG,140,2,10,UAE,WON,PESHAWAR,
,ENG,279,4,6,NED,WON,PESHAWAR,
,ENG,152,10,10,SA,LOST,RAWALPINDI,
,ENG,249,9,3,PAK,LOST,KARACHI,
,ENG,235,8,5,SL,LOST,FAISALABAD,
,,,,,,,,
,NZ,239,6,9,ENG,WON,AHMEDABAD,
,NZ,307,8,7,NED,WON,VADODARA,
,NZ,177,9,5,SA,LOST,FAISALABAD,
,NZ,276,8,9,UAE,WON,FAISALABAD,
,NZ,235,10,5,PAK,LOST,LAHORE,
,NZ,286,9,4,AUS,LOST,CHENNAI,
,,,,,,,,
,SA,321,2,8,UAE,WON,RAWALPINDI,
,SA,177,9,5,NZ,WON,FAISALABAD,
,SA,230,10,10,ENG,WON,RAWALPINDI,
,SA,243,5,6,PAK,WON,KARACHI,
,SA,328,3,8,NED,WON,RAWALPINDI,
,SA,245,10,8,WI,LOST,KARACHI,
,,,,,,,,
,UAE,152,8,2,SA,LOST,RAWALPINDI,
,UAE,136,10,2,ENG,LOST,PESHAWAR,
,UAE,109,9,1,PAK,LOST,GUJRANWALA,
,UAE,167,9,8,NZ,LOST,FAISALABAD,
,UAE,220,3,9,NED,WON,LAHORE,
,,,,,,,,
,WI,155,4,9,ZIM,WON,HYDERABAD,
,WI,173,10,5,IND,LOST,GWALIOR,
,WI,NR,NR,NR,SL,LOST,COLOMBO,
,WI,93,10,10,KEN,LOST,PUNE,
,WI,232,6,6,AUS,WON,JAIPUR,
,WI,264,8,10,SA,WON,KARACHI,
,WI,202,10,8,AUS,LOST,MOHALI,
,,,,,,,,
,ZIM,151,9,4,WI,LOST,HYDERABAD,
,ZIM,228,6,4,SL,LOST,COLOMBO,
,ZIM,137,5,10,KEN,WON,PATNA,
,ZIM,154,10,2,AUS,LOST,NAGPUR,
,ZIM,207,10,5,IND,LOST,KANPUR,
,,,,,,,,
,NED,188,7,8,NZ,LOST,VADODARA,
,NED,230,6,4,ENG,LOST,PESHAWAR,
,NED,145,7,2,PAK,LOST,LAHORE,
,NED,216,9,3,UAE,LOST,LAHORE,
,NED,168,8,3,SA,LOST,RAWALPINDI,
,,,,,,,,
,SL,NR,NR,NR,AUS,WON,COLOMBO,
,SL,229,4,6,ZIM,WON,COLOMBO,
,SL,NR,NR,NR,WI,WON,COLOMBO,
,SL,272,4,3,IND,WON,DELHI,
,SL,398,5,7,KEN,WON,KANDY,
,SL,236,5,8,ENG,WON,FAISALABAD,
,SL,251,8,8,IND,WON,KOLKATA,
,SL,245,3,7,AUS,WON,LAHORE,
,,,,,,,,
,AUS,NR,NR,NR,SL,LOST,COLOMBO,
,AUS,304,7,7,KEN,WON,VISAKHAPATNAM,
,AUS,258,10,10,IND,WON,MUMBAI,
,AUS,158,2,10,ZIM,WON,NAGPUR,
,AUS,229,6,6,WI,LOST,JAIPUR,
,AUS,289,4,9,NZ,WON,CHENNAI,
,AUS,207,8,10,WI,WON,MOHALI,
,AUS,241,7,3,SL,LOST,LAHORE,
,,,,,,,,
,IND,203,3,6,KEN,WON,CUTTACK,
,IND,174,5,10,WI,WON,GWALIOR,
,IND,242,10,10,AUS,LOST,MUMBAI,
,IND,271,3,4,SL,LOST,DELHI,
,IND,247,5,10,ZIM,WON,KANPUR,
,IND,287,8,9,PAK,WON,BENGALURU,
,IND,120,8,8,SL,LOST,KOLKATA,
,,,,,,,,
,KEN,199,6,3,IND,LOST,CUTTACK,
,KEN,207,7,7,AUS,LOST,VISAKHAPATNAM,
,KEN,137,5,10,ZIM,LOST,PATNA,
,KEN,166,10,10,WI,WON,PUNE,
,KEN,254,7,5,SL,LOST,KANDY,
,,,,,,,,
,PAK,112,1,9,UAE,WON,GUJRANWALA,
,PAK,151,2,7,NED,WON,LAHORE,
,PAK,242,6,5,SA,LOST,KARACHI,
,PAK,250,3,9,ENG,WON,KARACHI,
,PAK,235,10,5,NZ,WON,LAHORE,
,PAK,248,9,8,IND,LOST,BENGALURU,
