YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
1999,ENG,207,2,10,SL,WON,LONODN,AUSTRALIA
,ENG,204,1,10,KEN,WON,CANTERBURY,
,ENG,103,7,10,SA,LOST,LONDON,
,ENG,168,3,8,ZIM,WON,NOTTINGHAM,
,ENG,169,10,8,IND,LOST,BIRMINGHAM,
,,,,,,,,
,SL,204,10,2,ENG,LOST,LONDON,
,SL,110,10,9,SA,LOST,NORTHAMPTON,
,SL,198,6,9,ZIM,WON,WORCESTER,
,SL,216,10,6,IND,LOST,TAUNTON,
,SL,275,8,6,KEN,WON,SOUTHAMPTON,
,,,,,,,,
,IND,253,5,6,SA,LOST,BRIGHTON,
,IND,249,10,9,ZIM,LOST,LEICESTER,
,IND,329,2,7,KEN,WON,BRISTOL,
,IND,373,6,10,SL,WON,TAUNTON,
,IND,232,8,10,ENG,WON,BIRMINGHAM,
,IND,205,10,6,AUS,LOST,LONDON,
,IND,227,6,10,PAK,WON,MANCHESTER,
,IND,251,6,5,NZ,LOST,NOTTINGHAM,
,,,,,,,,
,SA,254,6,5,IND,WON,BRIGHTON,
,SA,199,9,10,SL,WON,NORTHAMPTON,
,SA,225,7,10,ENG,WON,LONDON,
,SA,153,3,10,KEN,WON,AMSTELVEEN,
,SA,185,10,6,ZIM,LOST,CHELMSFORD,
,SA,221,7,7,PAK,WON,NOTTINGHAM,
,SA,287,5,8,NZ,WON,BIRMINGHAM,
,SA,271,7,5,AUS,LOST,LEEDS,
,SA,213,10,10,AUS,TIED,BIRMINGHAM,
,,,,,,,,
,KEN,229,7,5,ZIM,LOST,TAUNTON,
,KEN,203,10,1,ENG,LOST,CANTERBURY,
,KEN,235,7,2,IND,LOST,BRISTOL,
,KEN,152,10,3,SA,LOST,AMSTELVEEN,
,KEN,230,6,8,SL,LOST,SOUTHAMPTON,
,,,,,,,,
,ZIM,231,5,7,KEN,WON,TAUNTON,
,ZIM,252,9,10,IND,WON,LEICESTER,
,ZIM,197,9,6,SL,LOST,WORCESTER,
,ZIM,167,8,3,ENG,LOST,NOTTINGHAM,
,ZIM,233,6,10,SA,WON,CHELMSFORD,
,ZIM,175,NR,NR,NZ,NR,LEEDS,
,ZIM,259,6,4,AUS,LOST,LONDON,
,ZIM,123,10,9,PAK,LOST,LONDON,
,,,,,,,,
,PAK,229,8,10,WI,WON,BRISTOL,
,PAK,261,6,10,SCO,WON,CHESTER-LE-STREET,
,PAK,275,8,10,AUS,WON,LEEDS,
,PAK,269,8,8,NZ,WON,DERBY,
,PAK,161,10,9,BAN,LOST,NORTHAMPTON,
,PAK,220,7,7,SA,LOST,NOTTINGHAM,
,PAK,180,10,6,IND,LOST,MANCHESTER,
,PAK,271,9,10,ZIM,WON,LONDON,
,PAK,242,1,7,NZ,WON,MANCHESTER,
,PAK,132,10,2,AUS,LOST,LONDON,
,,,,,,,,
,WI,202,10,8,PAK,LOST,BRISTOL,
,WI,182,10,3,BAN,LOST,DUBLIN,
,WI,158,3,10,NZ,WON,SOUTHAMPTON,
,WI,70,2,10,SCO,WON,LEICESTER,
,WI,110,4,10,AUS,LOST,MANCHESTER,
,,,,,,,,
,SCO,181,7,4,AUS,LOST,WORCESTER,
,SCO,167,10,6,PAK,LOST,CHESTER-LE-STREET,
,SCO,163,10,9,BAN,LOST,EDINBURGH,
,SCO,68,10,2,WI,LOST,LEICESTER,
,SCO,121,10,4,NZ,LOST,EDINBURGH,
,,,,,,,,
,BAN,116,10,4,NZ,LOST,CHELMSFORD,
,BAN,182,10,3,WI,LOST,DUBLIN,
,BAN,185,9,10,SCO,WON,EDINBURGH,
,BAN,178,7,3,AUS,LOST,CHESTER-LE-STREET,
,BAN,223,9,10,PAK,WON,NORTHAMPTON,
,,,,,,,,
,AUS,182,4,7,SCO,WON,WORCESTER,
,AUS,213,8,5,NZ,LOST,CARDIFF,
,AUS,265,10,8,PAK,LOST,LEEDS,
,AUS,181,3,7,BAN,WON,CHESTER-LE-STREET,
,AUS,111,4,10,WI,WON,MANCHESTER,
,AUS,282,6,10,IND,WON,LONDON,
,AUS,303,4,6,ZIM,WON,LONDON,
,AUS,272,5,7,SA,WON,LEEDS,
,AUS,213,10,10,SA,TIED,BIRMINGHAM,
,AUS,133,2,10,PAK,WON,LONDON,
,,,,,,,,
,NZ,117,4,10,BAN,WON,CHELMSFORD,
,NZ,214,5,8,AUS,WON,CARDIFF,
,NZ,156,10,3,WI,LOST,SOUTHAMPTON,
,NZ,207,8,8,PAK,LOST,DERBY,
,NZ,123,4,10,SCO,WON,EDINBURGH,
,NZ,70,NR,NR,ZIM,NR,LEEDS,
,NZ,213,8,5,SA,LOST,BIRMINGHAM,
,NZ,253,5,6,IND,WON,NOTTINGHAM,
,NZ,241,7,1,PAK,LOST,MANCHESTER,
